FeatureImportanceHoeffdingTree_normYES_gp200_sc1.0E-7_InfoGainSplitCriterion_MDI
instancesSeen,median,mean,max,min,sum,top0,top1,top2,top3,top4,top5,top6,score(top0),score(top1),score(top2),score(top3),score(top4),score(top5),score(top6),score(att0-Airline),score(att1-Flight),score(att2-AirportFrom),score(att3-AirportTo),score(att4-DayOfWeek),score(att5-Time),score(att6-Length)
500,0.0,0.14285714285714285,1.0,0.0,1.0,2-AirportFrom,0-Airline,1-Flight,3-AirportTo,4-DayOfWeek,5-Time,6-Length,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000,0.0,0.14285714285714285,1.0,0.0,1.0,2-AirportFrom,0-Airline,1-Flight,3-AirportTo,4-DayOfWeek,5-Time,6-Length,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1500,0.0,0.14285714285714285,1.0,0.0,1.0,2-AirportFrom,0-Airline,1-Flight,3-AirportTo,4-DayOfWeek,5-Time,6-Length,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2000,0.0,0.14285714285714285,1.0,0.0,1.0,2-AirportFrom,0-Airline,1-Flight,3-AirportTo,4-DayOfWeek,5-Time,6-Length,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2500,0.0,0.14285714285714285,1.0,0.0,1.0,2-AirportFrom,0-Airline,1-Flight,3-AirportTo,4-DayOfWeek,5-Time,6-Length,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3000,0.0,0.14285714285714285,1.0,0.0,1.0,2-AirportFrom,0-Airline,1-Flight,3-AirportTo,4-DayOfWeek,5-Time,6-Length,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3500,0.0,0.14285714285714285,1.0,0.0,1.0,2-AirportFrom,0-Airline,1-Flight,3-AirportTo,4-DayOfWeek,5-Time,6-Length,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4000,0.0,0.14285714285714285,1.0,0.0,1.0,2-AirportFrom,0-Airline,1-Flight,3-AirportTo,4-DayOfWeek,5-Time,6-Length,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4500,0.0,0.14285714285714285,1.0,0.0,1.0,2-AirportFrom,0-Airline,1-Flight,3-AirportTo,4-DayOfWeek,5-Time,6-Length,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5000,0.0,0.14285714285714285,0.915021887184126,0.0,1.0,3-AirportTo,2-AirportFrom,0-Airline,1-Flight,4-DayOfWeek,5-Time,6-Length,0.915021887184126,0.08497811281587393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08497811281587393,0.915021887184126,0.0,0.0,0.0
5500,0.0,0.14285714285714285,0.9150139272297809,0.0,1.0,3-AirportTo,2-AirportFrom,0-Airline,1-Flight,4-DayOfWeek,5-Time,6-Length,0.9150139272297809,0.08498607277021904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08498607277021904,0.9150139272297809,0.0,0.0,0.0
6000,0.0,0.14285714285714285,0.9465287351849525,0.0,0.9999999999999999,3-AirportTo,2-AirportFrom,0-Airline,1-Flight,4-DayOfWeek,5-Time,6-Length,0.9465287351849525,0.05347126481504741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05347126481504741,0.9465287351849525,0.0,0.0,0.0
6500,0.0,0.14285714285714285,0.9593787306135669,0.0,1.0,3-AirportTo,2-AirportFrom,0-Airline,1-Flight,4-DayOfWeek,5-Time,6-Length,0.9593787306135669,0.04062126938643305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062126938643305,0.9593787306135669,0.0,0.0,0.0
7000,0.0,0.14285714285714288,0.9607787176523103,0.0,1.0000000000000002,3-AirportTo,2-AirportFrom,0-Airline,1-Flight,4-DayOfWeek,5-Time,6-Length,0.9607787176523103,0.03922128234768985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03922128234768985,0.9607787176523103,0.0,0.0,0.0
7500,0.0,0.14285714285714285,0.9580598666464094,0.0,1.0,3-AirportTo,2-AirportFrom,0-Airline,1-Flight,4-DayOfWeek,5-Time,6-Length,0.9580598666464094,0.04194013335359057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04194013335359057,0.9580598666464094,0.0,0.0,0.0
8000,0.0,0.14285714285714285,0.9576479528475151,0.0,1.0,3-AirportTo,2-AirportFrom,0-Airline,1-Flight,4-DayOfWeek,5-Time,6-Length,0.9576479528475151,0.042352047152484855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042352047152484855,0.9576479528475151,0.0,0.0,0.0
8500,0.0,0.14285714285714285,0.9586680486425284,0.0,1.0,3-AirportTo,2-AirportFrom,0-Airline,1-Flight,4-DayOfWeek,5-Time,6-Length,0.9586680486425284,0.041331951357471544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041331951357471544,0.9586680486425284,0.0,0.0,0.0
9000,0.0,0.14285714285714285,0.9590376287356185,0.0,1.0,3-AirportTo,2-AirportFrom,0-Airline,1-Flight,4-DayOfWeek,5-Time,6-Length,0.9590376287356185,0.040962371264381486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040962371264381486,0.9590376287356185,0.0,0.0,0.0
